"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","431592.008","4584502.399","431500.066","4584301.443","2.180446","41.407341","BUS -V23-D50--","02","06","Eixample","la Sagrada Família","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430992.693","4586622.666","430900.757","4586421.691","2.173034","41.426386","NITBUS -N4--","08","44","Nou Barris","Vilapicina i la Torre Llobeta","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","427891.422","4582649.499","427799.514","4582448.562","2.136397","41.390329","NITBUS -N12--","04","19","Les Corts","les Corts","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","433661.566","4584247.732","433569.605","4584046.778","2.205232","41.405221","NITBUS -N6--","10","68","Sant Martí","el Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432440.724","4585334.359","432348.775","4585133.395","2.190506","41.414906","BUS -33-34-B24-H10--","09","63","Sant Andreu","Navas","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432787.991","4581856.236","432696.038","4581655.304","2.195048","41.383609","NITBUS -N8-N28--","01","03","Ciutat Vella","la Barceloneta","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","429880.786","4583273.92","429788.86","4583072.976","2.160117","41.396129","NITBUS -N4-N5--","02","07","Eixample","la Dreta de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428401.397","4581493.158","428309.484","4581292.231","2.142633","41.37996","BUS -78--","03","15","Sants-Montjuïc","Hostafrancs","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431385.891","4588307.021","431293.952","4588106.03","2.177548","41.44159","NITBUS -N1--","08","52","Nou Barris","la Prosperitat","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432119.951","4586503.699","432028.005","4586302.725","2.186537","41.425411","NITBUS -N3--","09","61","Sant Andreu","la Sagrera","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428862.951","4583807.923","428771.034","4583606.975","2.14788","41.400849","BUS -27-V15-D40--","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432242.187","4584929.455","432150.239","4584728.495","2.188176","41.411243","BUS -33-34-B24-H10--","10","65","Sant Martí","el Clot","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428781.252","4579880.139","428689.335","4579679.227","2.147365","41.365466","BUS -125-150--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431789.504","4583717.662","431697.56","4583516.714","2.182897","41.40029","BUS -7-H12--","02","05","Eixample","el Fort Pienc","",""
"K014","Transports i serveis relacionats","Autobusos diürns","426664.129","4582937.526","426572.232","4582736.586","2.121684","41.392812","BUS -130--","05","23","Sarrià-Sant Gervasi","Sarrià","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427880.856","4578364.384","427788.947","4578163.486","2.136781","41.351734","BUS -125--","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425706.406","4576173.515","425614.516","4575972.638","2.111059","41.331804","BUS -21--","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432123.228","4585186.11","432031.282","4584985.148","2.186724","41.413544","NITBUS -N3--","10","64","Sant Martí","el Camp de l'Arpa del Clot","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431800.869","4588136.331","431708.926","4587935.342","2.182534","41.440088","BUS -132--","08","52","Nou Barris","la Prosperitat","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427306.821","4581203.731","427214.918","4581002.807","2.129579","41.377255","BUS -70--","03","17","Sants-Montjuïc","Sants - Badal","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429178.124","4584738.376","429086.205","4584537.419","2.151541","41.409257","BUS -116--","06","30","Gràcia","la Salut","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428806.001","4580953.335","428714.084","4580752.413","2.147535","41.375134","BUS -D20-52--","03","15","Sants-Montjuïc","Hostafrancs","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","428806.001","4580953.335","428714.084","4580752.413","2.147535","41.375134","NITBUS -N14-N2-N28--","03","15","Sants-Montjuïc","Hostafrancs","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429012.366","4580821.486","428920.447","4580620.565","2.150018","41.373965","BUS -13-23--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432486.146","4586599.675","432394.197","4586398.7","2.190908","41.426306","NITBUS -N9--","09","61","Sant Andreu","la Sagrera","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","428585.735","4580605.537","428493.82","4580404.618","2.144942","41.371982","NITBUS -N1-N13-N15-N16-N17-N18--","03","15","Sants-Montjuïc","Hostafrancs","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432134.307","4586116.659","432042.361","4585915.688","2.186752","41.421926","NITBUS -N3--","09","61","Sant Andreu","la Sagrera","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430741.99","4585530.638","430650.056","4585329.673","2.17016","41.416529","NITBUS -N6--","07","35","Horta-Guinardó","el Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429676.769","4580199.924","429584.844","4579999.009","2.158034","41.368425","BUS -55--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427798.319","4586780.456","427706.413","4586579.48","2.13479","41.427526","BUS -112--","07","39","Horta-Guinardó","Sant Genís dels Agudells","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429733.593","4579970.429","429641.667","4579769.516","2.15874","41.366363","BUS -55-150--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431635.764","4585480.444","431543.822","4585279.479","2.180859","41.416154","BUS -117-192--","10","64","Sant Martí","el Camp de l'Arpa del Clot","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425864.578","4583943.073","425772.689","4583742.124","2.111998","41.401795","BUS -130--","05","23","Sarrià-Sant Gervasi","Sarrià","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424490.387","4586511.62","424398.511","4586310.648","2.09524","41.4248","BUS -128--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","423937.539","4586773.543","423845.669","4586572.568","2.088591","41.427107","BUS -118--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431567.352","4590533.585","431475.412","4590332.574","2.179467","41.461659","BUS -83--","08","55","Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430539.906","4581398.483","430447.973","4581197.556","2.168216","41.379295","BUS -120--","01","01","Ciutat Vella","el Raval","",""
"K014","Transports i serveis relacionats","Autobusos diürns","433630.37","4584510.047","433538.41","4584309.091","2.20483","41.407581","BUS -7--","10","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424079.112","4586885.752","423987.24","4586684.776","2.090271","41.428131","BUS -118--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424603.314","4586436.354","424511.437","4586235.382","2.0966","41.424133","BUS -128--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424307.235","4586637.199","424215.361","4586436.226","2.093032","41.425914","BUS -128--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429546.443","4584638.069","429454.52","4584437.113","2.155959","41.408386","BUS -116--","06","31","Gràcia","la Vila de Gràcia","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","429673.316","4586726.16","429581.393","4586525.184","2.157234","41.427204","NITBUS -N4--","07","37","Horta-Guinardó","el Carmel","",""
